"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","players_info","match_info"
"2022-8888","Atp Cup","Hard",16,"A",20220103,289,"[{""id"": 105807, ""name"": ""Pablo Carreno Busta"", ""hand"": ""R"",""height"":188,""ioc"":""ESP"",""age"":30.4, ""rank"": 20, ""rank_points"": 2230}, {""id"":105936, ""name"": ""Filip Krajinovic"", ""hand"":""R"", ""height"":185, ""ioc"": ""SRB"", ""age"": 29.8, ""rank"": 42, ""rank_points"": 1402}]","{""score"": ""6-3 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 80, ""winner_id"": 105807, ""loser_id"": 105936}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,288,"[{""id"": 134770, ""name"": ""Casper Ruud"", ""hand"": ""R"",""height"":183,""ioc"":""NOR"",""age"":23.0, ""rank"": 8, ""rank_points"": 4160}, {""id"":106426, ""name"": ""Cristian Garin"", ""hand"":""R"", ""height"":185, ""ioc"": ""CHI"", ""age"": 25.5, ""rank"": 17, ""rank_points"": 2353}]","{""score"": ""6-4 6-1"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 84, ""winner_id"": 134770, ""loser_id"": 106426}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,287,"[{""id"": 126214, ""name"": ""Alejandro Tabilo"", ""hand"": ""L"",""height"":188,""ioc"":""CHI"",""age"":24.5, ""rank"": 139, ""rank_points"": 505}, {""id"":126340, ""name"": ""Viktor Durasovic"", ""hand"":""R"", ""height"":185, ""ioc"": ""NOR"", ""age"": 24.7, ""rank"": 345, ""rank_points"": 137}]","{""score"": ""6-1 6-7(5) 6-1"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 109, ""winner_id"": 126214, ""loser_id"": 126340}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,286,"[{""id"": 105138, ""name"": ""Roberto Bautista Agut"", ""hand"": ""R"",""height"":183,""ioc"":""ESP"",""age"":33.7, ""rank"": 19, ""rank_points"": 2260}, {""id"":134770, ""name"": ""Casper Ruud"", ""hand"":""R"", ""height"":183, ""ioc"": ""NOR"", ""age"": 23.0, ""rank"": 8, ""rank_points"": 4160}]","{""score"": ""6-4 7-6(4)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 105, ""winner_id"": 105138, ""loser_id"": 134770}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,285,"[{""id"": 105807, ""name"": ""Pablo Carreno Busta"", ""hand"": ""R"",""height"":188,""ioc"":""ESP"",""age"":30.4, ""rank"": 20, ""rank_points"": 2230}, {""id"":126340, ""name"": ""Viktor Durasovic"", ""hand"":""R"", ""height"":185, ""ioc"": ""NOR"", ""age"": 24.7, ""rank"": 345, ""rank_points"": 137}]","{""score"": ""6-3 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 68, ""winner_id"": 105807, ""loser_id"": 126340}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,284,"[{""id"": 105138, ""name"": ""Roberto Bautista Agut"", ""hand"": ""R"",""height"":183,""ioc"":""ESP"",""age"":33.7, ""rank"": 19, ""rank_points"": 2260}, {""id"":106426, ""name"": ""Cristian Garin"", ""hand"":""R"", ""height"":185, ""ioc"": ""CHI"", ""age"": 25.5, ""rank"": 17, ""rank_points"": 2353}]","{""score"": ""6-0 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 81, ""winner_id"": 105138, ""loser_id"": 106426}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,283,"[{""id"": 105807, ""name"": ""Pablo Carreno Busta"", ""hand"": ""R"",""height"":188,""ioc"":""ESP"",""age"":30.4, ""rank"": 20, ""rank_points"": 2230}, {""id"":126214, ""name"": ""Alejandro Tabilo"", ""hand"":""L"", ""height"":188, ""ioc"": ""CHI"", ""age"": 24.5, ""rank"": 139, ""rank_points"": 505}]","{""score"": ""6-4 7-6(4)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 112, ""winner_id"": 105807, ""loser_id"": 126214}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,282,"[{""id"": 106421, ""name"": ""Daniil Medvedev"", ""hand"": ""R"",""height"":198,""ioc"":""RUS"",""age"":25.8, ""rank"": 2, ""rank_points"": 8640}, {""id"":126610, ""name"": ""Matteo Berrettini"", ""hand"":""R"", ""height"":196, ""ioc"": ""ITA"", ""age"": 25.7, ""rank"": 7, ""rank_points"": 4568}]","{""score"": ""6-2 6-7(5) 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 157, ""winner_id"": 106421, ""loser_id"": 126610}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,281,"[{""id"": 206173, ""name"": ""Jannik Sinner"", ""hand"": ""R"",""height"":188,""ioc"":""ITA"",""age"":20.3, ""rank"": 10, ""rank_points"": 3350}, {""id"":126128, ""name"": ""Roman Safiullin"", ""hand"":""R"", ""height"":185, ""ioc"": ""RUS"", ""age"": 24.4, ""rank"": 167, ""rank_points"": 409}]","{""score"": ""7-6(6) 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 116, ""winner_id"": 206173, ""loser_id"": 126128}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,280,"[{""id"": 200005, ""name"": ""Ugo Humbert"", ""hand"": ""L"",""height"":188,""ioc"":""FRA"",""age"":23.5, ""rank"": 35, ""rank_points"": 1558}, {""id"":106421, ""name"": ""Daniil Medvedev"", ""hand"":""R"", ""height"":198, ""ioc"": ""RUS"", ""age"": 25.8, ""rank"": 2, ""rank_points"": 8640}]","{""score"": ""6-7(5) 7-5 7-6(2)"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 175, ""winner_id"": 200005, ""loser_id"": 106421}"
